genes_renamed,descriptions,gene_biotypes,n_species,species_sharing,Bonobo_Ppa,Chimp_Pt,AFR_hsa
MAD1L1,mitotic arrest deficient 1 like 1,protein_coding,1,bonobo_only,6.37,NA,NA
MAPK8IP3,mitogen-activated protein kinase 8 interacting protein 3,NA,1,chimp_only,NA,6.76,NA
MAS1L,MAS1 proto-oncogene like%2C G protein-coupled receptor,protein_coding,1,bonobo_only,6.02,NA,NA
MBD3L3,putative methyl-CpG-binding domain protein 3-like 3,protein_coding,1,bonobo_only,6.04,NA,NA
MBP,myelin basic protein,NA,1,chimp_only,NA,9.21,NA
MCF2L,MCF.2 cell line derived transforming sequence like,protein_coding,1,bonobo_only,6.49,NA,NA
MCPH1,microcephalin 1,protein_coding,1,bonobo_only,7.54,NA,NA
MEIG1,meiosis expressed gene 1 protein homolog,protein_coding,1,bonobo_only,7.14,NA,NA
MICB,MHC class I polypeptide-related sequence B-like,NA,1,chimp_only,NA,7.29,NA
MIER2,MIER family member 2,protein_coding,1,bonobo_only,6.04,NA,NA
MKI67,marker of proliferation Ki-67,NA,1,chimp_only,NA,6.03,NA
MMD2,monocyte to macrophage differentiation associated 2,protein_coding,1,bonobo_only,7.36,NA,NA
MRGPRG-AS1,NA,lncRNA,1,human_only,NA,NA,7.468363293
MRPS35P3,NA,processed_pseudogene,1,human_only,NA,NA,8.570029907
MSR1,macrophage scavenger receptor 1,protein_coding,1,bonobo_only,6.43,NA,NA
MSRA,methionine sulfoxide reductase A,NA,1,chimp_only,NA,7.43,NA
MTA1,metastasis associated 1,NA,1,chimp_only,NA,6.67,NA
MUC2,mucin 2%2C oligomeric mucus/gel-forming,protein_coding,1,bonobo_only,7.02,NA,NA
MUC22,NA,protein_coding,1,human_only,NA,NA,6.730587036
MUC5B,mucin 5B%2C oligomeric mucus/gel-forming,protein_coding,1,bonobo_only,8.63,NA,NA
MYLK2,myosin light chain kinase 2%2C skeletal/cardiac muscle-like,NA,1,chimp_only,NA,6.98,NA
MYO3A,NA,protein_coding,1,human_only,NA,NA,6.568090108
MYT1,myelin transcription factor 1,NA,1,chimp_only,NA,6.19,NA
MYZAP,myocardial zonula adherens protein,protein_coding,1,bonobo_only,6.09,NA,NA
NAV3,neuron navigator 3,NA,1,chimp_only,NA,6.39,NA
NBPF15,neuroblastoma breakpoint family member 15-like,protein_coding,1,bonobo_only,7.09,NA,NA
NBPF3,NBPF member 3,NA,1,chimp_only,NA,6.72,NA
NCAM2,neural cell adhesion molecule 2,protein_coding,1,bonobo_only,6.83,NA,NA
NINJ2,ninjurin 2,protein_coding,1,bonobo_only,7.38,NA,NA
NKAIN2,sodium/potassium transporting ATPase interacting 2,NA,1,chimp_only,NA,7.06,NA
NLRP11,NLR family pyrin domain containing 11,protein_coding,1,bonobo_only,6.89,NA,NA
NLRP12,NLR family pyrin domain containing 12,protein_coding,1,bonobo_only,8.52,NA,NA
NLRP4,NLR family pyrin domain containing 4,protein_coding,1,bonobo_only,6.71,NA,NA
NLRP5,NLR family pyrin domain containing 5,NA,1,chimp_only,NA,6.21,NA
NOM1,nucleolar protein with MIF4G domain 1,NA,1,chimp_only,NA,6.96,NA
NOTCH4,NA,protein_coding,1,human_only,NA,NA,7.847021303
NPIPA7,nuclear pore complex-interacting protein family member A7,protein_coding,1,bonobo_only,6.99,NA,NA
NPIPB15,nuclear pore complex interacting protein family member B15,protein_coding,1,bonobo_only,6.97,NA,NA
NPIPB8,nuclear pore complex-interacting protein family member B8-like,protein_coding,1,bonobo_only,6.94,NA,NA
NPIPB9,nuclear pore complex-interacting protein family member B9-like,protein_coding,1,bonobo_only,6.29,NA,NA
NRIP1,nuclear receptor interacting protein 1,protein_coding,1,bonobo_only,7.46,NA,NA
NTM,neurotrimin,NA,1,chimp_only,NA,6.71,NA
NXPH1,neurexophilin 1,NA,1,chimp_only,NA,6.52,NA
OLFML1,olfactomedin like 1,protein_coding,1,bonobo_only,6.77,NA,NA
